epoch,train_loss,train_acc,test_loss,test_acc

1,1.0169497497369606,0.685438146880133,0.7032207331501624,0.7842613636363637

2,0.35885722122825325,0.8812956403000138,0.33772883179549934,0.8870454545454546

3,0.22249205211286835,0.9256316666996498,0.16869067853263003,0.9415340909090909

4,0.17091314371952487,0.9427405948823494,0.14834292444224542,0.949375

5,0.14248881834596447,0.9520170786250025,0.12463066132123396,0.956875

6,0.11177696590778123,0.9620876293760267,0.09335659074447739,0.9692045454545455

7,0.09756445005957018,0.9664543794898182,0.5159347535428311,0.859375

8,0.07750306355867206,0.9734667827670144,0.1011803319320815,0.9667045454545454

9,0.07156798277350382,0.9759417486295542,0.07092693505086434,0.9767613636363637

10,0.06143510089794813,0.9792503611644338,0.07577070360355358,0.9765340909090909

11,0.05826142928736727,0.9800042300765867,0.06636165815147499,0.9802272727272727

12,0.04814699759944534,0.9833666462171736,0.044046604495648164,0.9851704545454546

13,0.046553688773965624,0.9845899052067049,0.05356401639462877,0.9823295454545454

14,0.04334146456487765,0.9852015347014704,0.13130994789600448,0.9623863636363637

15,0.0383581144390601,0.9869139736003641,0.03878181579308396,0.9873863636363637

16,0.037230164219792895,0.9871700045516614,0.3248718837401917,0.916875

17,0.03312367006923491,0.9887717440778928,0.0389370846047798,0.9877272727272727

18,0.03298052258579348,0.988905325443787,0.049807822474821975,0.9848863636363636

19,0.02768916707220506,0.9904130632680929,0.03835360999417906,0.9880113636363637

20,0.029409434644517576,0.990299271734183,0.04831496780506709,0.9848295454545455

21,0.027862865254948087,0.9907717539728088,0.518121153913689,0.8911931818181819

22,0.02452167365754452,0.991422963131543,0.04488681983224343,0.9860227272727272

23,0.024735818539235854,0.9916307563673785,0.06954555728660915,0.9788636363636364

24,0.02291045427636721,0.9922906235776058,0.03903595630513998,0.9873295454545454

25,0.022312405266654674,0.9924328629949932,0.04460059186393173,0.9867045454545454

26,0.020138401619981934,0.9930104787160358,0.04201495378844597,0.9870454545454546

27,0.01891733059634113,0.9936987938097406,0.03262361507403311,0.9894886363636364

28,0.019048337408871522,0.9937358997447112,0.045380795925123285,0.9859659090909091

29,0.019507739821178406,0.9933289713245335,0.05290938328435376,0.9848863636363636

30,0.018054454851174743,0.9937927955116661,0.04318330730618065,0.9877840909090909

31,0.015928700166696185,0.9945949021392808,0.032573726759862115,0.9905681818181818

32,0.01696939201753178,0.9941681838871188,0.03756388722887664,0.9893181818181818

33,0.016754685594583957,0.9948793809740555,0.03833597698051778,0.9883522727272728

34,0.01493857040885966,0.995121187983614,0.05331550568237206,0.9846590909090909

35,0.010114194979885872,0.9966162420382165,0.04027990697893968,0.9888068181818181

36,0.008899264573137208,0.9971880316097639,0.021578916326780533,0.9932386363636364

37,0.010086774028362125,0.9968579390354868,0.09023254998346392,0.9746022727272727

38,0.006050874392398538,0.997981119199272,0.07601584323325022,0.9782954545454545

39,0.006985888520253673,0.9975972474977252,0.02545846593203632,0.9926830808080809

40,0.009254945067566883,0.9969432438580528,0.5383743451757527,0.8997727272727273

41,0.0077915576979904625,0.9975688125568699,0.16132307703152984,0.9619886363636364

42,0.007964914702551801,0.9973413330300273,0.03728706927366549,0.9903409090909091

43,0.007867592796470263,0.9975354324089093,0.03441037480624676,0.9898295454545455

44,0.00874534870906003,0.997312898089172,0.04708567672704486,0.9870454545454546

45,0.006859199527541078,0.9977962920837125,0.01963176840583892,0.9943181818181818

46,0.005797829621073382,0.9982370336669699,0.021471460245121966,0.9935227272727273

47,0.00797741018458302,0.997398202911738,0.04233658789046532,0.9868181818181818

48,0.0063283652350502395,0.9977820746132848,0.0486054286032042,0.9864204545454546

49,0.006135292315259393,0.9979242493175614,0.01774054292294977,0.995

50,0.008184965011354113,0.9974297286070342,0.08214903352849867,0.9784659090909091

